id,name,normalized_name,gender
1648,Enemy Soldier #1,enemy soldier 1,
1649,Enemy Soldier #2,enemy soldier 2,
1650,Soldier #3,soldier 3,
1651,Soldier #4,soldier 4,
1652,Ring Girl,ring girl,
1653,Tape Recorder,tape recorder,
1654,Tutor,tutor,
1655,Onlooker #1,onlooker 1,
1656,Opponent #1,opponent 1,
1657,Opponent #2,opponent 2,
1658,Opponent #3,opponent 3,
1659,Parents,parents,
1660,Tiny Student,tiny student,
1661,All Students,all students,
1662,Old Jazz Musician,old jazz musician,
1663,Store Clerk,store clerk,
1664,Rudi,rudi,
1665,Bart Butterfly,bart butterfly,
1666,Lion's Head,lions head,
1667,Darth,darth,
1668,Black Man,black man,
1669,Shill,shill,
1670,News Vendor,news vendor,
1671,Psychotic Guy,psychotic guy,
1672,Hairdresser,hairdresser,
1673,Players,players,
1674,Sinister Man,sinister man,
1675,Henchman,henchman,
1676,1st Tourist,1st tourist,
1677,2nd Tourist,2nd tourist,
1678,Outfielder,outfielder,
1679,Shelby,shelby,
1680,Backpack Kid,backpack kid,
1681,Shelbyville Kids,shelbyville kids,
1682,Springfield,springfield,
1683,Shelbyville,shelbyville,
1684,Tough Kid,tough kid,
1685,Dads,dads,
1686,Bigger Kid,bigger kid,
1687,1st Kid,1st kid,
1688,2nd Kid,2nd kid,
1689,Gas Station Attendant,gas station attendant,
1690,Second Customer,second customer,
1691,Shelbyvillers,shelbyvillers,
1692,Groundskeeper Wilma,groundskeeper wilma,
1693,Tow Truck Man,tow truck man,
1694,Shelbyville Grampa,shelbyville grampa,
1695,Prendergast,prendergast,
1696,Guillermo,guillermo,
1697,Tito Puente,tito puente,
1698,High School Student,high school student,
1699,Roughneck,roughneck,
1700,Veterinarian,veterinarian,
1701,Nelson's Parrot,nelsons parrot,
1702,All Teachers,all teachers,
1703,Male Inspector,male inspector,
1704,Female Inspector,female inspector,
1705,Other Old People,other old people,
1706,Imaginary Burns #1,imaginary burns 1,
1707,Imaginary Burns #2,imaginary burns 2,
1708,Imaginary Burns #3,imaginary burns 3,
1709,Ten Imaginary Burnses,ten imaginary burnses,
1710,Elderly Guard,elderly guard,
1711,Smithers's Brain,smitherss brain,
1712,SUPER-VILLAIN,super-villain,
1713,Teenage Employee,teenage employee,
1714,Pigeon,pigeon,
1715,Police Dispatcher,police dispatcher,
1716,Old Board Member,old board member,
1717,Scoutmaster,scoutmaster,
1718,Different Announcers,different announcers,
1719,Casting Lady,casting lady,
1720,Teamster,teamster,
1721,Dialogue Coach,dialogue coach,
1722,Movie Prop Guy,movie prop guy,
1723,Estonian Dwarf,estonian dwarf,
1724,Prop Guy,prop guy,
1725,Editor,editor,
1726,Spirograph Man,spirograph man,
1727,Mickey Rooney,mickey rooney,
1728,Helicopter Pilot,helicopter pilot,
1729,SHALLOW-LOOKING HOLLYWOODITE,shallow-looking hollywoodite,
1730,Bentley Salesman,bentley salesman,
1731,Head Lice,head lice,
1732,Bully Girls,bully girls,
1733,Old Mafia Guy,old mafia guy,
1734,Officer Noble,officer noble,
1735,FROM SPEAKER,from speaker,
1736,Father In Burlap Sack,father in burlap sack,
1737,Crow,crow,
1738,Pre-Teen Hibbert Kid,pre-teen hibbert kid,
1739,Little Hibbert Girl,little hibbert girl,
1740,Teenage Hibbert Boy,teenage hibbert boy,
1741,Barney-Shaped Form,barney-shaped form,
1742,Jinglers,jinglers,
1743,SHERRI/TERRI/THEIR SOULS,sherriterritheir souls,
1744,NELSON/HIS SOUL,nelsonhis soul,
1745,MARTIN'S SOUL,martins soul,
1746,Unctuous Waiter,unctuous waiter,
1747,Figure,figure,
1748,SHERRI/TERRI,sherriterri,
1749,VERY CUTE LITTLE GIRL,very cute little girl,
1750,Raving Derelict,raving derelict,
1751,Nana Van Houten,nana van houten,
1752,Wolf,wolf,
1753,Pigs,pigs,
1754,Papa Bear,papa bear,
1755,Mama Bear,mama bear,
1756,Baby Bear,baby bear,
1757,Mother Goose,mother goose,
1758,100 Flanderses,100 flanderses,
1759,Jose Flanders,jose flanders,
1760,Thistlewick Flanders,thistlewick flanders,
1761,Lamb,lamb,
1762,MS. HOOVER,ms hoover,
1763,Worm,worm,
1764,Child Voice,child voice,
1765,Linda McCartney,linda mccartney,
1766,Paul McCartney,paul mccartney,
1767,Lard Lad,lard lad,
1768,College Students,college students,
1769,Store Owner,store owner,
1770,Mr. Van Brunt,mr van brunt,
1771,Paul Anka,paul anka,
1772,Kindergarten Kids,kindergarten kids,
1773,All Parents,all parents,
1774,Homer's Mouth,homers mouth,
1775,Muscular Guy,muscular guy,
1776,Glamorous Woman,glamorous woman,
1777,Rugged Man,rugged man,
1778,Moviegoer,moviegoer,
1779,Ice Cream Man,ice cream man,
1780,Worker #3,worker 3,
1781,Line Man,line man,
1782,County Clerk,county clerk,
1783,Grave-digger,grave-digger,
1784,Howard Cosell,howard cosell,
1785,Protestors,protestors,
1786,Student Wiggum,student wiggum,
1787,'Dennis Hopper',dennis hopper,
1788,Postal Clerk,postal clerk,
1789,Postal Clerk #2,postal clerk 2,
1790,Van Driver,van driver,
1791,Enraged Prisoner,enraged prisoner,
1792,Teenage Girl,teenage girl,
1793,Tv Audience,tv audience,
1794,AIRMAN AT THE GATE,airman at the gate,
1795,Very Normal Prisoner,very normal prisoner,
1796,Another Prisoner,another prisoner,
1797,Airman Tour Guide,airman tour guide,
1798,M.P.,mp,
1799,ENTIRE AUDIENCE,entire audience,
1800,Loudspeaker,loudspeaker,
1801,Airman At Gate,airman at gate,
1802,Airman With Pistol,airman with pistol,
1803,Airman In Tank,airman in tank,
1804,'Matt Groening',matt groening,
1805,Network Executive #1,network executive 1,
1806,Network Executive #2,network executive 2,
1807,Producer,producer,male
1808,Supervillain,supervillain,
1809,Bont,bont,
1810,Indian Woman,indian woman,
1811,Bare-chested Man,bare-chested man,
1812,Richard Simmons Robot,richard simmons robot,
1813,Carolers,carolers,
1814,Rich Suburban Mom,rich suburban mom,
1815,SPOILED LITTLE BOY,spoiled little boy,
1816,Gavin,gavin,
1817,'Mario',mario,
1818,'Mario' #2,mario 2,
1819,'Donkey Kong',donkey kong,
1820,Lee Carvallo,lee carvallo,
1821,'Sonic the Hedgehog',sonic the hedgehog,
1822,Answering Machine,answering machine,
1823,Mangy Santa,mangy santa,
1824,Quimby #2,quimby 2,
1825,Quimbys,quimbys,
1826,Bowling Clerk,bowling clerk,
1827,Nurselady Doris,nurselady doris,
1828,Sportscaster #2,sportscaster 2,
1829,Guy In Crowd,guy in crowd,
1830,GEORGE BUSH & FLANDERS,george bush flanders,
1831,Teenage Kid,teenage kid,
1832,HOMER AND BART,homer and bart,
1833,Elks,elks,
1834,GORBACHEV,gorbachev,
1835,Gerald Ford,gerald ford,
1836,Simpsons,simpsons,
1837,Women,women,
1838,Dorothy Parker-ish Socialite,dorothy parker-ish socialite,
1839,Patricia,patricia,
1840,Roberta,roberta,
1841,Brittany Brockman,brittany brockman,
1842,Tom Kite,tom kite,
1843,Saleslady,saleslady,
1844,Mr. Dewey,mr dewey,
1845,Bank Employee,bank employee,
1846,Teller #2,teller 2,
1847,Cayman Islands Bank Guy,cayman islands bank guy,
1848,Chief Agent,chief agent,
1849,2ND IRS AGENT,2nd irs agent,
1850,Phone Bid Taker,phone bid taker,
1851,Man's Voice,mans voice,
1852,Bob Newhart,bob newhart,
1853,GLOBAL POSITIONING SYSTEM,global positioning system,
1854,Pioneers,pioneers,
1855,Troy-jebediah,troy-jebediah,
1856,Fatherly Pioneer,fatherly pioneer,
1857,Mechanical Voice,mechanical voice,
1858,Committee Members,committee members,
1859,Sprüngfeld,sprüngfeld,
1860,Betsy Ross,betsy ross,
1861,Corporate Type,corporate type,
1862,Skull,skull,
1863,Sharpshooter,sharpshooter,
1864,Employees,employees,
1865,Mrs. Burns,mrs burns,
1866,Middle-aged Man,middle-aged man,
1867,Brinkley,brinkley,
1868,Suzanne Somers,suzanne somers,
1869,Courtroom Spectators,courtroom spectators,
1870,Amendment,amendment,
1871,Congressman,congressman,
1872,Mob Of Amendments,mob of amendments,
1873,Crazy Amendment,crazy amendment,
1874,Lester,lester,
1875,'Miss Piggy',miss piggy,
1876,'Sir Kermit',sir kermit,
1877,Paparazzo,paparazzo,
1878,PHONE VOICE,phone voice,
1879,Diners,diners,
1880,Obnoxious Diner,obnoxious diner,
1881,TROY/ONSCREEN TROY,troyonscreen troy,
1882,Male Co-host,male co-host,
1883,Female Co-host,female co-host,
1884,Ape,ape,
1885,Ape #2,ape 2,
1886,Chorus Of Ape Elders,chorus of ape elders,
1887,Ape Nurse,ape nurse,
1888,Dr. Zaius,dr zaius,
1889,Jub-Jub,jub-jub,
1890,Ticketing Agent,ticketing agent,
1891,Crackerman,crackerman,
1892,Other Traders,other traders,
1893,Angry Dad,angry dad,
1894,Deranged-looking Hitchhiker,deranged-looking hitchhiker,
1895,Andy Williams,andy williams,
1896,Commanding-voiced Man,commanding-voiced man,
1897,Proprietor,proprietor,
1898,Al Gore Doll,al gore doll,
1899,Pawn Shop Clerk,pawn shop clerk,
1900,Chinese Doctor,chinese doctor,
1901,Oak Ridge Engineer,oak ridge engineer,
1902,Review Board Members,review board members,
1903,Review Board Chairman,review board chairman,
1904,Brandine Del Roy,brandine del roy,female
1905,HURLBUT,hurlbut,male
1906,Disco Stu,disco stu,male
1907,Chester Lampwick,chester lampwick,male
1908,Macarthur Parker,macarthur parker,male
1909,Detective,detective,male
1910,Evelyn,evelyn,female
1911,Señora Bumblebee Man,señora bumblebee man,
1912,Twangy Singers,twangy singers,
1913,Very Tall Man,very tall man,
1914,Grampa Van Houten,grampa van houten,
1915,Judge Grandfather,judge grandfather,
1916,VIDAL,vidal,
1917,Voice On Intercom,voice on intercom,
1918,Phony Homer,phony homer,
1919,Phony Marge,phony marge,
1920,Iggy Wiggum,iggy wiggum,
1921,Sheldon Skinner,sheldon skinner,
1922,Arnie Gumble,arnie gumble,
1923,Ox,ox,
1924,Platoon,platoon,
1925,Etch,etch,
1926,ROD/TODD,rodtodd,
1927,State Dept. Man #1,state dept man 1,
1928,State Dept. Man #2,state dept man 2,
1929,Von Wörtzenburger,von wörtzenburger,
1930,VON WÖRTZENURGER,von wÖrtzenurger,
1931,GREAT GRAMPA,great grampa,
1932,Great Grampa Simpson,great grampa simpson,
1933,GREAT GRAMMA SIMPSON,great gramma simpson,
1934,Apu's Father,apus father,
1935,Apu's Mother,apus mother,
1936,Young Apu,young apu,
1937,Young Frink,young frink,
1938,Tom Cruise,tom cruise,
1939,Nicole Kidman,nicole kidman,
1940,I.N.S. AGENT,ins agent,
1941,Radio,radio,
1942,Sales Teen,sales teen,
1943,First Cool Guy,first cool guy,
1944,All Other Guys,all other guys,
1945,Second Girl,second girl,
1946,Ticket,ticket,
1947,Blockhead,blockhead,
1948,B-Real,b-real,
1949,Sales Kid,sales kid,
1950,Sour Kid,sour kid,
1951,Many Kids,many kids,
1952,Sour Kid #2,sour kid 2,
1953,Sour Girl,sour girl,
1954,Peter Frampton,peter frampton,
1955,Billy Corgan,billy corgan,
1956,Sonic Youth,sonic youth,
1957,Cypress Hill,cypress hill,
1958,Smashing Pumpkins,smashing pumpkins,
1959,First Gen-x Kid,first gen-x kid,
1960,Second Gen-x Kid,second gen-x kid,
1961,Jimmy Chamberlin,jimmy chamberlin,
1962,James Iha,james iha,
1963,DJ Muggs,dj muggs,
1964,London Orchestra Guy,london orchestra guy,
1965,FRAMPTON'S GUITAR,framptons guitar,
1966,Otto's Left Shoe,ottos left shoe,
1967,Otto's Right Shoe,ottos right shoe,
1968,Thurston Moore,thurston moore,
1969,Steve Shelley,steve shelley,
1970,Lee Ranaldo,lee ranaldo,
1971,Kim Gordon,kim gordon,
1972,Sen-Dog,sen-dog,
1973,Ice Cream Truck Supervisor,ice cream truck supervisor,
1974,Nerdy Girl,nerdy girl,
1975,OTHER NERDY GIRL,other nerdy girl,
1976,Pippi Longstocking,pippi longstocking,
1977,Eustace Tilley,eustace tilley,
1978,Alice,alice,
1979,COOL KID VOICE,cool kid voice,
1980,COOL GIRL VOICE,cool girl voice,
1981,Rick,rick,
1982,Erin,erin,
1983,Apu II,apu ii,
1984,Something,something,
1985,'Hulking,Shambling Figure',
1986,Hugo,hugo,
1987,Prof. Mini-Frink,prof mini-frink,
1988,Notable,notable,
1989,Fat Man,fat man,
1990,Dole,dole,
1991,Committee Staff,committee staff,
1992,Clinton,clinton,
1993,KODOS-CLINTON,kodos-clinton,
1994,KANG-DOLE,kang-dole,
1995,Spokesman,spokesman,
1996,SECRET SERVICEMAN,secret serviceman,
1997,Man In Crowd,man in crowd,
1998,Alien Crier,alien crier,
1999,Businesswoman,businesswoman,
2000,Technicians,technicians,
2001,Student In Sunglasses,student in sunglasses,
2002,'Milhouse',milhouse,
2003,Mr. Doyle,mr doyle,
2004,Leg-up Kid,leg-up kid,
2005,2nd Leg-up Kid,2nd leg-up kid,
2006,3RD LEG-UP KID,3rd leg-up kid,
2007,Leg-up Teacher,leg-up teacher,
2008,Rest Of Class,rest of class,
2009,Mrs. Owl,mrs owl,
2010,U.N. Member,un member,
2011,2nd U.N. Member,2nd un member,
2012,Jumpsuited Guy,jumpsuited guy,
2013,Duncan,duncan,
2014,Hank Scorpio,hank scorpio,male
2015,D'arcy,darcy,female
2016,Record/children,recordchildren,
2017,Computer,computer,
2018,Messenger,messenger,
2019,Mall Announcer,mall announcer,
2020,Indian #1,indian 1,
2021,Indian #2,indian 2,
2022,Microchip Voice,microchip voice,
2023,Jimbo's Dad,jimbos dad,
2024,Dolph's Dad,dolphs dad,
2025,Kearney's Dad,kearneys dad,
2026,LUCIUS,lucius,
2027,Prisoners,prisoners,
2028,Questioner #1,questioner 1,
2029,Questioner #2,questioner 2,
2030,Questioner #3,questioner 3,
2031,PAROLE BOARD MEMBERS,parole board members,
2032,T-shirt Vendor,t-shirt vendor,
2033,Michael Buffer,michael buffer,
2034,Fan Man,fan man,
2035,Park Ranger,park ranger,
2036,Tour Group,tour group,
2037,Old Preppie,old preppie,
2038,Willy Loman,willy loman,
2039,Wealthy Dowager,wealthy dowager,
2040,Male Admissions Officer,male admissions officer,
2041,Female Admissions Officer,female admissions officer,
2042,Costume Shop Clerk,costume shop clerk,
2043,Child's Voice,childs voice,
2044,Simulated Homer,simulated homer,
2045,Starlet,starlet,
2046,Sports Announcer,sports announcer,
2047,Dancer #1,dancer 1,
2048,Rusty,rusty,
2049,Bernice Hibbert,bernice hibbert,
2050,Dancer #2,dancer 2,
2051,BELLE/DANCERS,belledancers,
2052,Townsmen Chorus,townsmen chorus,
2053,Marge's Dummy,marges dummy,
2054,Hibbert Family,hibbert family,
2055,'Kearney,Jr.',
2056,Single Man,single man,
2057,Cracker Executive,cracker executive,
2058,Chase,chase,
2059,Starla,starla,
2060,Flashback Homer,flashback homer,
2061,Flashback Marge,flashback marge,
2062,COMBO FRONTMAN,combo frontman,
2063,Bandmembers,bandmembers,
2064,Homer's Recording,homers recording,
2065,Milhouse's Thoughts,milhouses thoughts,
2066,Paramedic,paramedic,
2067,Nelson's Brain,nelsons brain,
2068,National Guardsman,national guardsman,
2069,Main Title Singers,main title singers,
2070,Prison Officials,prison officials,
2071,Citizens,citizens,
2072,Older Nurse,older nurse,
2073,Young Ned,young ned,
2074,Young Dr. Foster,young dr foster,
2075,'Nedward Flanders,Sr.',
2076,Mona Flanders,mona flanders,
2077,Crazy Man,crazy man,
2078,Jay Sherman,jay sherman,
2079,Various Onlookers,various onlookers,
2080,Coyote,coyote,
2081,Furniture Salesman,furniture salesman,
2082,First Mate,first mate,
2083,Leonard Nimoy,leonard nimoy,
2084,Video Arcade Man,video arcade man,
2085,Kevin Costner Voice,kevin costner voice,
2086,Guilty Man,guilty man,
2087,Fox Mulder,fox mulder,
2088,Dana Scully,dana scully,
2089,Alf,alf,
2090,MARVIN-THE-MARTIAN-TYPE,marvin-the-martian-type,
2091,Whale,whale,
2092,Frog #1,frog 1,
2093,Frog #2,frog 2,
2094,Frog #3,frog 3,
2095,alligator,alligator,
2096,Hot Dog Stand Guy,hot dog stand guy,
2097,SMITHERS',smithers,
2098,NICK RIVIERA,nick riviera,
2099,Motivational Man,motivational man,
2100,Picture Man,picture man,
2101,Pita Saleswoman,pita saleswoman,
2102,Investorettes,investorettes,
2103,Frank Ormand,frank ormand,
2104,1st Sportscaster,1st sportscaster,
2105,Entire Stadium,entire stadium,
2106,2nd Sportscaster,2nd sportscaster,
2107,Mobster,mobster,
2108,Little Yakuza,little yakuza,
2109,Yakuza,yakuza,
2110,1st Panicked Employee,1st panicked employee,
2111,2nd Panicked Employee,2nd panicked employee,
2112,Ranger,ranger,
2113,Smokey Bear,smokey bear,
2114,Smithers's Echo,smitherss echo,
2115,John Muir,john muir,
2116,Drunk Man,drunk man,
2117,McFadden,mcfadden,
2118,Dr. Foster,dr foster,male
2119,Belle,belle,female
2120,Mr. Burns's Thoughts,mr burnss thoughts,
2121,Family,family,
2122,FORD,ford,
2123,Older Woman,older woman,
2124,Elderly Woman,elderly woman,
2125,Nanny,nanny,
2126,Fidgety Lieutenant,fidgety lieutenant,
2127,'Quentin Tarantino',quentin tarantino,
2128,Moderator,moderator,
2129,Writer #1,writer 1,
2130,Writer #3,writer 3,
2131,Writing Staff,writing staff,
2132,Head Animator,head animator,
2133,Roy,roy,
2134,David Cohen,david cohen,
2135,Sound Engineer,sound engineer,
2136,June,june,
2137,Nerd In Audience,nerd in audience,
2138,Theme Singers,theme singers,
2139,Very Deep Voice,very deep voice,
2140,Poochie,poochie,
2141,Hip Saleswoman,hip saleswoman,
2142,100 Workers,100 workers,
2143,Buffed Worker,buffed worker,
2144,Worker In Crowd,worker in crowd,
2145,Convicts,convicts,
2146,Fat Convict,fat convict,
2147,Sideshow Bob's Brain,sideshow bobs brain,
2148,1986 Cecil,1986 cecil,
2149,1986 BOB,1986 bob,
2150,1986 Krusty,1986 krusty,
2151,EVERYONE BUT BOB AND CECIL,everyone but bob and cecil,
2152,Cousin Merl,cousin merl,
2153,Man In Lower Outhouse,man in lower outhouse,
2154,Comedy Nurse,comedy nurse,
2155,Distressed Yuppie,distressed yuppie,
2156,Young Italian Man #1,young italian man 1,
2157,Limo Driver,limo driver,
2158,Emergency Operator,emergency operator,
2159,Irish Cops,irish cops,
2160,Drunken Revelers,drunken revelers,
2161,Shocked Old Woman,shocked old woman,
2162,Bar Crowd,bar crowd,
2163,Temperance Women,temperance women,
2164,Very Old Clerk,very old clerk,
2165,Councilmen,councilmen,
2166,Head Of Duff,head of duff,
2167,Quimby's Aide,quimbys aide,
2168,'HOMER,MARGE AND BART',
2169,Helpful Clerk,helpful clerk,
2170,Voice In Crowd,voice in crowd,
2171,Magician,magician,
2172,Cafeteria Worker,cafeteria worker,
2173,Computerized Japanese Voice,computerized japanese voice,
2174,Laddie,laddie,
2175,Credit Representative,credit representative,
2176,Repo Goon #2,repo goon 2,
2177,Heiress,heiress,
2178,Lumley,lumley,
2179,Distant Voice,distant voice,
2180,FIRE-STOKER,fire-stoker,
2181,Tommy,tommy,
2182,Mitchell,mitchell,
2183,Stockbroker,stockbroker,
2184,ADVISORS & SMITHERS,advisors smithers,
2185,Real Estate Agent,real estate agent,
2186,Bret 'The Hitman' Hart,bret the hitman hart,
2187,Shrieking Sheik,shrieking sheik,
2188,Activity Coordinator,activity coordinator,
2189,Female Resident,female resident,
2190,Male Resident,male resident,
2191,Several Residents,several residents,
2192,Hospital Intercom,hospital intercom,
2193,Test Blast Announcer,test blast announcer,
2194,Nearby Patient,nearby patient,
2195,P.A. SYSTEM,pa system,
2196,Young Flanders,young flanders,
2197,Young Lovejoy,young lovejoy,
2198,Japanese Worker #1,japanese worker 1,
2199,St. Eleutherius,st eleutherius,
2200,St. Bartholomew,st bartholomew,
2201,St. Lucian,st lucian,
2202,St. Donickus,st donickus,
2203,Japanese Businessman,japanese businessman,
2204,Mr. Sparkle,mr sparkle,
2205,UNDERWATER GIRLS #1 & #2,underwater girls 1 2,
2206,UNDERWATER GIRL #3,underwater girl 3,
2207,Sumo Wrestlers,sumo wrestlers,
2208,Japanese Announcer,japanese announcer,
2209,Donny,donny,
2210,Baboon,baboon,
2211,Japanese Tourist,japanese tourist,
2212,Zookeeper,zookeeper,
2213,Baboons,baboons,
2214,City Employee,city employee,
2215,Portly Chef,portly chef,
2216,Big Daddy,big daddy,
2217,Scary Huge-headed Figure,scary huge-headed figure,
2218,Betty,betty,
2219,Cecil Terwilliger,cecil terwilliger,male
2220,SHARY,shary,female
2221,Rex Banner,rex banner,male
2222,BETTY & MOE,betty moe,
2223,MOE & BETTY,moe betty,
2224,Tim Conway,tim conway,
2225,Ozmodiar,ozmodiar,
2226,OSMODIAR AND TROY,osmodiar and troy,
2227,Adlai Stevenson,adlai stevenson,
2228,Parrots,parrots,
2229,Cadet,cadet,
2230,Cadet Larsen,cadet larsen,
2231,Cadet Franklin,cadet franklin,
2232,Cadet Platt,cadet platt,
2233,Cadets,cadets,
2234,CADET ANDERSEN,cadet andersen,
2235,Cadet Anderson,cadet anderson,
2236,Cheerleaders,cheerleaders,
2237,Hasidic Man,hasidic man,
2238,Immigrants,immigrants,
2239,OFFICE WORKER IN TOWER ONE,office worker in tower one,
2240,OFFICE WORKER IN TOWER TWO,office worker in tower two,
2241,Undershirt Guy,undershirt guy,
2242,Dmv Recording,dmv recording,
2243,Gruff Voice,gruff voice,
2244,Crazy Guy,crazy guy,
2245,Fireworks Vendor,fireworks vendor,
2246,Society Matron,society matron,
2247,Alfred E. Neuman,alfred e neuman,
2248,Angry Cab Driver,angry cab driver,
2249,Bike Messenger,bike messenger,
2250,Song On Radio,song on radio,
2251,Jury Member #1,jury member 1,
2252,Jury Member #2,jury member 2,
2253,Jury Chorus,jury chorus,
2254,Mr. Cleary,mr cleary,
2255,Staff/patients,staffpatients,
2256,Construction Worker,construction worker,
2257,Picnickers,picnickers,
2258,Carriage Driver,carriage driver,
2259,Student Choir,student choir,
2260,Stranger,stranger,
2261,Young Armin,young armin,
2262,Frog,frog,
2263,'Krusty',krusty,
2264,Asian Boy,asian boy,
2265,Young Barney,young barney,
2266,Little Girls,little girls,
2267,Headmistress,headmistress,
2268,Man At Bar,man at bar,
2269,French President,french president,
2270,Mutant Sideshow Mel,mutant sideshow mel,
2271,Mutant Dr. Hibbert,mutant dr hibbert,
2272,Mutant Moe,mutant moe,
2273,Mutant Skinner,mutant skinner,
2274,Mutant Burns,mutant burns,
2275,Mutant Lenny,mutant lenny,
2276,Mutants,mutants,
2277,Mutant Wiggum,mutant wiggum,
2278,MUTANT FLANDERS,mutant flanders,
2279,MUTANT MEL/SKINNER/MOE/BURNS/WIGGUM,mutant melskinnermoeburnswiggum,
2280,Creature,creature,
2281,Fly-head,fly-head,
2282,Governor Quimby,governor quimby,
2283,Constable Wiggum,constable wiggum,
2284,Goodman Skinner,goodman skinner,
2285,Goodman Flanders,goodman flanders,
2286,Pastor Lovejoy,pastor lovejoy,
2287,Goodman Moe,goodman moe,
2288,Goody Krabappel,goody krabappel,
2289,Goodman Lenny,goodman lenny,
2290,Snowman Eddie,snowman eddie,
2291,Princess Lou,princess lou,
2292,Goody Maude,goody maude,
2293,Pelé,pelé,
2294,Foreign Announcer,foreign announcer,
2295,Soccer Hooligans,soccer hooligans,
2296,Soccer Hooligan,soccer hooligan,
2297,Security Salesman,security salesman,
2298,Gun Clerk,gun clerk,
2299,Hooker,hooker,
2300,Muffled Voice,muffled voice,
2301,Team,team,
2302,Roy Firestone,roy firestone,
2303,Teenage Smithers,teenage smithers,
2304,MIDDLE-AGE GRAMPA,middle-age grampa,
2305,Teenage Lenny,teenage lenny,
2306,Joe Namath,joe namath,
2307,Other Players,other players,
2308,HANK,hank,
2309,Female Voices,female voices,
2310,Female Crowd Members,female crowd members,
2311,Manjula's Mother,manjulas mother,
2312,'Siegfried',siegfried,
2313,Guests,guests,
2314,Ganesh,ganesh,
2315,Burly Guest,burly guest,
2316,Indian Singers,indian singers,
2317,Mall Executive,mall executive,
2318,Pr Man,pr man,
2319,Caveman,caveman,
2320,Stephen Jay Gould,stephen jay gould,
2321,Duffman,duffman,male
2322,Armin,armin,male
2323,Commandant,commandant,male
2324,Sgt. Skinner,sgt skinner,male
2325,SOUTH AMERICAN BIDDER,south american bidder,
2326,Johnny D,johnny d,
2327,City Clerk,city clerk,
2328,Cookie,cookie,
2329,Assorted Agents,assorted agents,
2330,Lionel Hutz's Head,lionel hutzs head,
2331,Female Victim,female victim,
2332,Other Realtors,other realtors,
2333,Dove,dove,
2334,Shopper,shopper,
2335,Cheerleader,cheerleader,
2336,Toy,toy,
2337,Patches,patches,
2338,Poor Violet,poor violet,
2339,Sullen Teen,sullen teen,
2340,Sean,sean,
2341,Alex Trebek,alex trebek,
2342,Goon #1,goon 1,
2343,Hombre,hombre,
2344,Clint Eastwood,clint eastwood,
2345,Townspeople Chorus,townspeople chorus,
2346,Lee Marvin,lee marvin,
2347,Female Chorus,female chorus,
2348,SECOND FEMALE CHORUS,second female chorus,
2349,Kids On Ride,kids on ride,
2350,Carny,carny,
2351,Dracula Voice,dracula voice,
2352,Maintenance Man,maintenance man,
2353,Game Announcer,game announcer,
2354,Spud,spud,
2355,Performer,performer,
2356,Camel,camel,
2357,Fantastic Dan,fantastic dan,
2358,Passengers,passengers,
2359,Hari Krishna,hari krishna,
2360,Christian,christian,
2361,Jane,jane,
2362,Movementarians,movementarians,
2363,Don,don,
2364,Homer's Stomach,homers stomach,
2365,Homer's Feet,homers feet,
2366,Leader,leader,
2367,THE LEADER,the leader,
2368,Noah,noah,
2369,Singing Children,singing children,
2370,Chinese Sailor #1,chinese sailor 1,
2371,Chinese Sailor #2,chinese sailor 2,
2372,Bill Gates,bill gates,
2373,James Earl Jones,james earl jones,
2374,Volunteer,volunteer,
2375,Steven Wright,steven wright,
2376,Bobcat Goldthwaite,bobcat goldthwaite,
2377,JANEANE,janeane,
2378,Bruce Baum,bruce baum,
2379,COMPUTER ON STOOL,computer on stool,
2380,Comics,comics,
2381,Mr. Teeny,mr teeny,
2382,Businessman #1,businessman 1,
2383,Businessman #2,businessman 2,
2384,Jay Leno,jay leno,
2385,HANK WILLIAMS JR.,hank williams jr,
2386,Republican Candidate,republican candidate,
2387,Drunken Cop,drunken cop,
2388,Photographer Cop,photographer cop,
2389,Homer's Voice,homers voice,
2390,GHOSTLY HOMER,ghostly homer,
2391,Square Guy,square guy,
2392,Station Manager,station manager,
2393,Great Uncle Chet,great uncle chet,
2394,Well-dressed Relative,well-dressed relative,
2395,Relative #1,relative 1,
2396,Relative #2,relative 2,
2397,Relative #3,relative 3,
2398,Relative #4,relative 4,
2399,Relative #5,relative 5,
2400,Dr. Simpson,dr simpson,
2401,Simpson Woman #1,simpson woman 1,
2402,Simpson Woman #2,simpson woman 2,
2403,Simpson Woman #3,simpson woman 3,
2404,Nerdy Kids,nerdy kids,
2405,Female Computer,female computer,
2406,Bullies,bullies,
2407,Elderly Night Watchman,elderly night watchman,
2408,Leprechaun,leprechaun,
2409,General Donut,general donut,
2410,Donuts,donuts,
2411,Roddy McDonut,roddy mcdonut,
2412,Big Donut,big donut,
2413,Big Hand Guy,big hand guy,
2414,Naval Announcer,naval announcer,
2415,Recruiting Officer,recruiting officer,
2416,Asian Man,asian man,
2417,Drill Instructor,drill instructor,
2418,Barney's Mom,barneys mom,
2419,Head Chef,head chef,
2420,Head Instructor,head instructor,
2421,WORLD WAR I RECREATIONISTS,world war i recreationists,
2422,Other Kids,other kids,
2423,Bob Denver,bob denver,
2424,Captain Tenille,captain tenille,
2425,Female Ensign,female ensign,
2426,Enemy Crewperson,enemy crewperson,
2427,Cooder,cooder,male
2428,Glen,glen,male
2429,Renee,renee,female
2430,Enemy Captain,enemy captain,
