id,name,normalized_name,gender
193,Judge Snyder,judge snyder,male
194,Jacques,jacques,male
195,Salesman,salesman,male
196,Woman,woman,female
197,Rod Flanders,rod flanders,male
198,Manager,manager,male
199,Bleeding Gums Murphy,bleeding gums murphy,male
200,Cowboy Bob,cowboy bob,male
201,Jacqueline Bouvier,jacqueline bouvier,female
202,Waiter,waiter,male
203,Gulliver Dark,gulliver dark,male
204,Cesar,cesar,male
205,Stan,stan,male
206,Cashier,cashier,male
207,Krusty Doll,krusty doll,male
208,Lawyer,lawyer,male
209,Mother,mother,female
210,Foreperson,foreperson,
211,Merchandiser #1,merchandiser 1,
212,Merchandiser #3,merchandiser 3,
213,Kbbl Weatherman,kbbl weatherman,
214,Screener,screener,
215,Worker One,worker one,
216,Florist,florist,
217,Lucille Botzcowski,lucille botzcowski,
218,Maitre D',maitre d,
219,Doofy,doofy,
220,U-Squeal Operator,u-squeal operator,
221,Tv Reporter,tv reporter,
222,Bart's Voice,barts voice,
223,Krabappel's Mouth,krabappels mouth,
224,GRANDMA,grandma,
225,Nurse Farrell,nurse farrell,
226,Entire Town,entire town,
227,Thomas Jefferson,thomas jefferson,
228,John Adams,john adams,
229,Samuel Chase,samuel chase,
230,Roger Sherman,roger sherman,
231,Benjamin Franklin,benjamin franklin,
232,Tv Host,tv host,
233,Tv Contestant,tv contestant,
234,Good-looking Man,good-looking man,
235,Dr. H. Boyle,dr h boyle,
236,Mr. Winfield,mr winfield,
237,Mourners,mourners,
238,Other Runner,other runner,
239,Jake,jake,
240,Woman Applicant,woman applicant,
241,Man In Tuxedo,man in tuxedo,
242,Executive #1,executive 1,
243,Executive #3,executive 3,
244,Moving Man,moving man,
245,House,house,
246,Kang,kang,
247,Serak The Preparer,serak the preparer,
248,Kodos,kodos,
249,V.O.,vo,
250,Raven,raven,
251,Dave Shutton,dave shutton,
252,Chief Inspector,chief inspector,
253,Dean Danielson,dean danielson,
254,DANEILSON,daneilson,
255,OLD BEARDED GUY,old bearded guy,
256,Charles Darwin,charles darwin,
257,Singers,singers,
258,MARY BAILEY,mary bailey,
259,Investigator #1,investigator 1,
260,Investigator #2,investigator 2,
261,Investigator #3,investigator 3,
262,Make-up Man,make-up man,
263,Gregor,gregor,
264,GAMMILL,gammill,
265,FLASH,flash,
266,Player #1,player 1,
267,P.A. Announcer,pa announcer,
268,Dan Hoard,dan hoard,
269,Vendor,vendor,
270,VENDER,vender,
271,MR. O'HARA,mr ohara,
272,Man On Bus,man on bus,
273,Player #2,player 2,
274,Rasta #1,rasta 1,
275,Rasta #2,rasta 2,
276,Supervisor,supervisor,
277,Tony Bennett,tony bennett,
278,Capital City Goofball,capital city goofball,
279,Dave Glass,dave glass,
280,First Wife #3,first wife 3,
281,First Wife #1,first wife 1,
282,Hot Dog Man,hot dog man,
283,Spectator #1,spectator 1,
284,Spectator #2,spectator 2,
285,Spectator #3,spectator 3,
286,Clubhouse Attendant,clubhouse attendant,
287,Dave Rosenfield,dave rosenfield,
288,Librarian,librarian,
289,SENIOR CITIZENS,senior citizens,
290,Announcer #2,announcer 2,
291,Mrs. Spencer,mrs spencer,
292,Security Guard #1,security guard 1,
293,Casey,casey,
294,Rory,rory,
295,Transient,transient,
296,Uncle Sam,uncle sam,
297,Audience,audience,
298,Tv Voice #1,tv voice 1,
299,Tv Voice #2,tv voice 2,
300,Tv Voice #3,tv voice 3,
301,ALL THREE TV VOICES,all three tv voices,
302,Mayor Joe Quimby,mayor joe quimby,male
303,Maude Flanders,maude flanders,female
304,Helen Lovejoy,helen lovejoy,female
305,Jasper Beardly,jasper beardly,male
306,Man,man,male
307,Marty,marty,male
308,TV Announcer,tv announcer,male
309,Bill,bill,male
310,Director,director,male
311,Arnie Pye,arnie pye,male
312,Nurse,nurse,female
313,Karl,karl,male
314,Radio Announcer,radio announcer,male
315,British Commentator,british commentator,male
316,DANIELSON,danielson,male
317,ALL 3 ANNOUNCERS,all 3 announcers,
318,LARGO,largo,
319,SCRAPER,scraper,
320,CLARK,clark,
321,SMYTHE,smythe,
322,Itchy & Scratchy Singers,itchy scratchy singers,
323,Her Group,her group,
324,Animator,animator,
325,1ST BOARD MEMBER,1st board member,
326,2nd Board Member,2nd board member,
327,Squirrel,squirrel,
328,Scratchy,scratchy,
329,Itchy,itchy,
330,Curator,curator,
331,Della,della,
332,Bailiff,bailiff,
333,BURNS LAWYER,burns lawyer,
334,Sushi Bar Chefs,sushi bar chefs,
335,Hostess,hostess,
336,Toshiro,toshiro,
337,Master,master,
338,Richie Sakai,richie sakai,
339,Cellmate,cellmate,
340,Crazy Calls,crazy calls,
341,Smitty,smitty,
342,Larry King,larry king,
343,LARRY KING V.O.,larry king vo,
344,Bald One,bald one,
345,Police Captain,police captain,
346,Fat One,fat one,
347,Kim,kim,
348,Estelle,estelle,
349,MCINTYRE,mcintyre,
350,Mrs. Bloominstein,mrs bloominstein,
351,Coach Flanagan,coach flanagan,
352,Mr. Seckofsky,mr seckofsky,
353,Mr. Bouvier,mr bouvier,
354,Chauffeur,chauffeur,
355,PRINCIPAL,principal,
356,Homer The Thief,homer the thief,
357,Hezron,hezron,
358,Zohar,zohar,
359,Moses,moses,
360,Cable Guy,cable guy,
361,Comic,comic,
362,Woman #1,woman 1,
363,Woman #2,woman 2,
364,Mexican Announcer,mexican announcer,
365,Representative,representative,
366,Cockfight Announcer,cockfight announcer,
367,Davey,davey,
368,Goliath,goliath,
369,Panelist #1,panelist 1,
370,Blockbuster Announcer,blockbuster announcer,
371,Top Hat Announcer,top hat announcer,
372,Stock Reporter,stock reporter,
373,Boxing Announcer #1,boxing announcer 1,
374,Boxing Announcer #2,boxing announcer 2,
375,Challenger,challenger,
376,Referee,referee,
377,Kindly Old Gent,kindly old gent,
378,Stanley,stanley,
379,Busboy,busboy,
380,Australian Boy,australian boy,
381,Australian Girl,australian girl,
382,Jeweler,jeweler,
383,Senator Mendoza,senator mendoza,
384,Board Member,board member,
385,Female Commando,female commando,
386,Theatre Manager,theatre manager,
387,Floozy,floozy,
388,Attendant,attendant,
389,Policeman,policeman,
390,Executive #2,executive 2,
391,Head Engineer,head engineer,
392,Engineer #2,engineer 2,
393,Engineer #3,engineer 3,
394,Female Singer,female singer,
395,Counter Man,counter man,
396,Flanders's Thoughts,flanderss thoughts,
397,Kelly,kelly,
398,Father McGrath,father mcgrath,
399,Salesboy,salesboy,
400,Hula Woman,hula woman,
401,BEA,bea,
402,Checker,checker,
403,Dr. Julius Hibbert,dr julius hibbert,male
404,Groundskeeper Willie,groundskeeper willie,male
405,Troy McClure,troy mcclure,male
406,Lionel Hutz,lionel hutz,male
407,HERB,herb,male
408,Mona Simpson,mona simpson,female
409,'Roger Meyers,Jr.',
410,Blue-Haired Lawyer,blue-haired lawyer,male
411,Dr. Nick Riviera,dr nick riviera,male
412,Artie Ziff,artie ziff,male
413,Larry,larry,male
414,Principal Dondelinger,principal dondelinger,male
415,Emily,emily,female
416,Akira,akira,male
417,Jack,jack,male
418,Track Announcer,track announcer,male
419,Devil,devil,male
420,Farmer,farmer,male
421,Reporter,reporter,male
422,MURDOCK,murdock,male
423,Tracker,tracker,
424,Mr. Hazelwood,mr hazelwood,
425,Cabbie,cabbie,
426,KENT,kent,
427,MONROE,monroe,
428,Old Man Daly,old man daly,
429,Old Man McGrath,old man mcgrath,
430,Plato,plato,
431,Croupier,croupier,
432,Recorded Announcer,recorded announcer,
433,Old Woman In Line,old woman in line,
434,Monitor #1,monitor 1,
435,Monitor #2,monitor 2,
436,Female Newscaster,female newscaster,
437,Mr. Schindler,mr schindler,
438,Student,student,
439,Registrar,registrar,
440,Professor Lombardo,professor lombardo,
441,BART & LISA,bart lisa,
442,Artist,artist,
443,Delivery Man,delivery man,
444,MR. BURNS' GEOMETRIC SHAPES,mr burns geometric shapes,
445,RINGO,ringo,
446,WETHERBY,wetherby,
447,MRS. HOOVER,mrs hoover,
448,Chuck,chuck,
449,Classmate,classmate,
450,Terri/sherri,terrisherri,
451,Woman In Booth,woman in booth,
452,Landlady,landlady,
453,Kid Reporter,kid reporter,
454,Husband Of Marge's Friend,husband of marges friend,
455,Sophisticate #1,sophisticate 1,
456,Sophisticate #2,sophisticate 2,
457,Sophisticate #3,sophisticate 3,
458,Sultan,sultan,
459,Worm Man,worm man,
460,Convict,convict,
461,Customer,customer,
462,DIAMOND JOE,diamond joe,
463,Lost And Found Guy,lost and found guy,
464,Radioactive Man,radioactive man,
465,Fallout Boy,fallout boy,
466,Convention Director,convention director,
467,BUDDY,buddy,
468,Dealer,dealer,
469,Young Patty,young patty,
470,Young Selma,young selma,
471,Older Patty,older patty,
472,Older Selma,older selma,
473,Adult Narrator,adult narrator,
474,Teller,teller,
475,Asa,asa,
476,Soap Actress,soap actress,
477,Soap Actor,soap actor,
478,Osvaldo,osvaldo,
479,Mail Person,mail person,
480,Roman,roman,
481,Postal Worker,postal worker,
482,Joey,joey,
483,Guard #1,guard 1,
484,Guard #2,guard 2,
485,Psychiatrist,psychiatrist,
486,Orderly,orderly,
487,Floyd,floyd,
488,Bart's Head,barts head,
489,Voice On Phone,voice on phone,
490,Leon Kompowsky,leon kompowsky,
491,Minnesota Girl,minnesota girl,
492,Alabama Boy,alabama boy,
493,QUEENS BOY,queens boy,
494,Female Judge,female judge,
495,Dad,dad,
496,Flight Attendant,flight attendant,
497,Irs Man,irs man,
498,Hotel Guest,hotel guest,
499,Miss Crowley,miss crowley,
500,Truong/maria,truongmaria,
501,TRUONG,truong,
502,MARIA,maria,
503,Worker,worker,
504,Guide,guide,
505,Lobbyist,lobbyist,
506,Arnold,arnold,
507,Newlywed Wife,newlywed wife,
508,White Trash Woman #1,white trash woman 1,
509,Man #3,man 3,
510,Old Timer,old timer,
511,Guy,guy,
512,Songster,songster,
513,Page,page,
514,Senator,senator,
515,Oil Developer,oil developer,
516,Professor Jonathan Frink,professor jonathan frink,male
517,Snake Jailbird,snake jailbird,male
518,Miss Hoover,miss hoover,female
519,BERGSTROM,bergstrom,male
520,'MICHAEL',michael,male
521,Pilot,pilot,male
522,John,john,male
523,Host,host,male
524,Guard,guard,male
525,Gloria,gloria,female
526,Captain,captain,male
527,Mrs. Glick,mrs glick,female
528,Doctor,doctor,male
529,BARBARA,barbara,female
530,Dave,dave,male
531,Wiseguy,wiseguy,male
532,Agent,agent,
533,Speaker,speaker,
534,Majority Leader,majority leader,
535,Everyone Else,everyone else,
536,President,president,
537,Foreign Dignitary,foreign dignitary,
538,Paper Boy,paper boy,
539,Sportscaster #1,sportscaster 1,
540,Girl,girl,
541,Neighborhood Guy,neighborhood guy,
542,Homemaker,homemaker,
543,Landscaper,landscaper,
544,Choreographer,choreographer,
545,George Washington,george washington,
546,Video Voice,video voice,
547,Man Shopper,man shopper,
